Unnamed: 0,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream,Genre
3941,0.745,0.525,11.0,-8.427,0.205,0.0896,2.19e-05,0.204,0.217,101.709,240240.0,1143539.0,12174.0,841.0,4007981.0,hip hop
3942,0.69,0.533,6.0,-8.91,0.313,0.00388,0.0,0.153,0.454,91.69,242333.0,800727.0,9863.0,748.0,3667388.0,hip hop
3943,0.697,0.826,0.0,-4.719,0.377,0.205,0.0,0.0699,0.504,104.003,166227.0,230202.0,4421.0,194.0,0.0,hip hop
3954,0.683,0.375,0.0,-13.056,0.0303,0.579,0.0,0.076,0.888,140.467,135533.0,2308118.0,11009.0,163.0,349854911.0,country
3955,0.67,0.275,0.0,-12.755,0.0385,0.671,0.0,0.199,0.806,152.649,130027.0,1617316.0,2332.0,26.0,132837646.0,country
3956,0.565,0.377,0.0,-11.566,0.0282,0.729,0.0,0.104,0.73,93.593,82800.0,2308118.0,11009.0,163.0,17622490.0,country
3957,0.647,0.288,0.0,-13.158,0.0324,0.845,0.0,0.357,0.877,90.017,82773.0,297799.0,2204.0,23.0,14699669.0,country
3958,0.263,0.239,7.0,-15.505,0.0346,0.907,0.000213,0.285,0.295,130.102,106600.0,1440862.0,7991.0,17.0,24838856.0,country
3959,0.366,0.191,0.0,-15.278,0.0298,0.923,7.08e-05,0.225,0.296,94.347,148333.0,318836.0,2524.0,11.0,6153765.0,country
3960,0.367,0.215,9.0,-12.271,0.0377,0.859,0.0,0.138,0.343,93.406,127813.0,7757.0,181.0,22.0,2078453.0,country
3961,0.305,0.186,10.0,-14.75,0.0348,0.846,0.0,0.325,0.571,200.073,133533.0,275821.0,1475.0,47.0,2343811.0,country
3962,0.722,0.259,11.0,-13.114,0.0721,0.812,0.0,0.128,0.571,81.006,129507.0,12979.0,98.0,2.0,2650330.0,country
3963,0.665,0.365,0.0,-13.03,0.03,0.653,0.0,0.109,0.865,140.418,133840.0,2308118.0,11009.0,163.0,394475462.0,country
3994,0.598,0.571,8.0,-12.616,0.139,0.704,0.0,0.513,0.962,173.141,119880.0,71437494.0,726116.0,11494.0,207720281.0,jazz
3995,0.556,0.61,9.0,-4.729,0.213,0.833,2.22e-06,0.258,0.665,199.373,171467.0,26716489.0,206477.0,3850.0,171910447.0,jazz
3996,0.696,0.547,5.0,-5.954,0.169,0.792,0.0,0.155,0.623,73.203,155507.0,4104192.0,31644.0,719.0,93155404.0,jazz
3997,0.31,0.279,5.0,-13.552,0.0308,0.815,0.0,0.318,0.377,79.397,256120.0,11659011.0,63536.0,3867.0,49339853.0,jazz
3998,0.19,0.323,7.0,-12.405,0.0303,0.626,2.17e-06,0.176,0.281,94.34,219560.0,701128.0,11940.0,273.0,84461994.0,jazz
3999,0.54,0.681,4.0,-5.44,0.0508,0.808,0.0,0.162,0.794,88.385,307053.0,7902607.0,65168.0,1424.0,64876951.0,blues
4000,0.628,0.298,10.0,-12.571,0.0296,0.639,0.000442,0.101,0.391,98.966,238751.0,428628.0,2591.0,114.0,39204688.0,blues
4001,0.565,0.962,8.0,-2.981,0.064,0.437,0.0,0.056,0.906,148.808,160227.0,1204326.0,13885.0,394.0,57480006.0,jazz
4002,0.671,0.417,11.0,-10.209,0.21,0.402,0.0,0.12,0.331,133.557,210854.0,24930.0,480.0,10.0,10960674.0,blues
4003,0.357,0.216,3.0,-12.833,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733.0,1961450.0,11114.0,335.0,22143449.0,jazz
4004,0.632,0.586,0.0,-11.333,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173.0,10170200.0,109108.0,1846.0,0.0,rock
4005,0.298,0.895,9.0,-7.647,0.0547,0.0283,0.00574,0.305,0.544,173.737,368507.0,60891226.0,321008.0,13814.0,0.0,rock
4006,0.521,0.721,2.0,-7.699,0.0254,0.00348,0.0113,0.391,0.611,97.578,328427.0,108469771.0,466875.0,21252.0,101011043.0,rock
4007,0.546,0.274,2.0,-15.07,0.027,0.417,2.99e-05,0.109,0.228,66.809,193653.0,8459527.0,65061.0,2384.0,0.0,rock
4008,0.599,0.271,11.0,-10.724,0.0358,0.864,0.0243,0.0553,0.216,129.173,211400.0,31.0,1.0,0.0,0.0,rock
4009,0.338,0.461,9.0,-10.74,0.0396,0.17,0.564,0.0927,0.351,126.698,620373.0,4030713.0,35107.0,1759.0,0.0,rock
4010,0.577,0.664,10.0,-9.153,0.0461,0.00533,0.111,0.142,0.164,108.442,264973.0,12464310.0,46986.0,1653.0,0.0,rock
4011,0.38,0.938,7.0,-6.183,0.0384,0.0109,0.0257,0.366,0.604,96.653,364747.0,23323708.0,118306.0,6577.0,0.0,rock
4012,0.497,0.787,9.0,-11.039,0.0734,0.165,0.522,0.17,0.812,134.598,207467.0,8063996.0,45523.0,1126.0,0.0,rock
4013,0.524,0.818,11.0,-6.701,0.0406,0.000915,4.47e-05,0.0916,0.525,121.699,425200.0,17374755.0,77972.0,3033.0,18886901.0,rock
4014,0.362,0.961,2.0,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840.0,63536925.0,469434.0,15658.0,200817066.0,metal
4015,0.435,0.987,1.0,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16,365827.0,74684767.0,514835.0,30884.0,104480046.0,metal
4016,0.519,0.833,6.0,-6.947,0.0496,0.00572,4.33e-06,0.104,0.532,138.225,310080.0,2291245.0,31785.0,794.0,103063302.0,metal
4017,0.61,0.824,4.0,-6.046,0.0534,0.0136,1.75e-06,0.0606,0.819,134.992,210133.0,3694514.0,40136.0,1115.0,88071504.0,metal
4018,0.437,0.948,4.0,-6.041,0.0554,0.000716,0.000261,0.146,0.361,96.72,222440.0,22159028.0,149951.0,7556.0,54743426.0,metal
4019,0.551,0.876,9.0,-7.02,0.037,0.174,9.04e-06,0.397,0.746,151.575,334000.0,36826189.0,207129.0,9583.0,41092630.0,metal
4020,0.532,0.441,11.0,-7.86,0.0243,0.014,0.0,0.11,0.204,83.998,264200.0,1225.0,40.0,0.0,18456096.0,metal
4021,0.287,0.716,11.0,-5.653,0.0311,0.0381,3.24e-05,0.164,0.544,172.123,409800.0,1251998.0,16525.0,991.0,19886943.0,metal
4022,0.481,0.981,6.0,-6.456,0.143,0.000148,0.0555,0.144,0.102,97.106,344360.0,112663.0,1462.0,79.0,16618274.0,metal
4023,0.605,0.897,7.0,-6.08,0.0384,0.000414,0.000753,0.0666,0.709,130.053,173973.0,14569968.0,113831.0,4861.0,6632707.0,metal
4026,0.772,0.665,8.0,-3.947,0.0349,0.0136,0.012,0.0905,0.838,115.138,242587.0,32328194.0,201421.0,6963.0,63624596.0,rock
4027,0.729,0.731,4.0,-4.823,0.0682,0.235,1.35e-06,0.391,0.838,138.204,302720.0,52215449.0,286568.0,9862.0,71354567.0,rock
4028,0.606,0.75,8.0,-4.535,0.0306,0.00264,0.000788,0.321,0.771,126.316,225867.0,120811198.0,669504.0,23025.0,113764418.0,rock
4031,0.705,0.872,11.0,-3.557,0.126,0.0618,0.0,0.227,0.75,93.628,207040.0,54424916.0,270822.0,7141.0,40225442.0,rock
